game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0029600244,00,1610612746,LAC,Los Angeles,40,23,6,3,2,2,1.0,19.0,4.0,,1610612741,CHI,Chicago,58,13,15,19,0.0,10.0,5.0,
0029600246,00,1610612743,DEN,Denver,18,0,0,6,9,9,0.0,12.0,9.0,,1610612757,POR,Portland,36,20,15,14,1.0,12.0,11.0,
0029600245,00,1610612742,DAL,Dallas,54,12,23,9,16,16,0.0,9.0,11.0,,1610612755,PHI,Philadelphia,42,19,6,8,0.0,18.0,9.0,
0029600249,00,1610612748,MIA,Miami,32,16,4,11,9,4,0.0,16.0,8.0,,1610612752,NYK,New York,38,21,8,20,0.0,14.0,13.0,
0029600251,00,1610612759,SAS,San Antonio,54,13,12,5,13,8,1.0,13.0,8.0,,1610612763,VAN,Vancouver,40,16,8,16,0.0,12.0,14.0,
0029600252,00,1610612762,UTA,Utah,36,12,19,12,8,2,0.0,12.0,4.0,,1610612750,MIN,Minnesota,36,11,7,13,0.0,16.0,6.0,
0029600248,00,1610612738,BOS,Boston,70,16,22,18,11,11,0.0,16.0,13.0,0.0,1610612751,NJN,New Jersey,62,10,19,6,0.0,20.0,7.0,0.0
0029600254,00,1610612744,GSW,Golden State,30,10,8,3,13,10,2.0,17.0,10.0,,1610612754,IND,Indiana,36,20,11,20,0.0,20.0,11.0,
0029600250,00,1610612765,DET,Detroit,36,2,9,12,7,11,0.0,6.0,8.0,,1610612739,CLE,Cleveland,26,8,9,8,1.0,13.0,2.0,
0029600255,00,1610612756,PHX,Phoenix,40,10,14,13,8,4,0.0,23.0,9.0,,1610612758,SAC,Sacramento,56,14,13,6,1.0,20.0,5.0,
